area_type,total_sqft,bath,price,bhk,Electronic City,Hebbal,Kanakpura Road,Marathahalli,Raja Rajeshwari Nagar,Sarjapur  Road,Thanisandra,Uttarahalli,Whitefield,Yelahanka,other
2.0,1070.0,2,53.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1571.0,3,83.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1350.0,3,66.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1652.0,3,110.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,65.58,2,1,0,0,0,0,0,0,0,0,0,0
0.0,635.0,1,28.0,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,65.4,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1355.0,2,72.9,2,1,0,0,0,0,0,0,0,0,0,0
0.0,770.0,1,35.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,865.0,2,40.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1108.0,2,63.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,630.0,1,40.5,1,1,0,0,0,0,0,0,0,0,0,0
2.0,605.0,1,22.0,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,48.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1360.0,2,70.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,635.0,1,28.0,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,65.45,2,1,0,0,0,0,0,0,0,0,0,0
2.0,890.0,2,40.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1360.0,2,58.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,630.0,1,33.7,1,1,0,0,0,0,0,0,0,0,0,0
0.0,1400.0,3,90.0,3,1,0,0,0,0,0,0,0,0,0,0
0.0,1287.0,3,55.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1258.0,2,85.5,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1386.0,2,85.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,550.0,1,27.0,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1025.0,2,50.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,55.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1342.0,2,72.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1275.0,3,70.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,770.0,1,38.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1644.0,3,92.59,3,1,0,0,0,0,0,0,0,0,0,0
0.0,1250.0,2,62.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,418.0,1,12.0,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,64.8,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1060.0,2,55.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,710.0,1,40.42,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1275.0,3,63.43,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1518.0,3,75.0,3,1,0,0,0,0,0,0,0,0,0,0
0.0,1090.0,2,31.48,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1060.0,2,55.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1353.0,2,75.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,67.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1070.0,2,57.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1700.0,3,90.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,750.0,1,35.0,1,1,0,0,0,0,0,0,0,0,0,0
0.0,1210.0,2,55.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1070.0,2,60.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1615.0,3,97.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1221.0,2,68.0,2,1,0,0,0,0,0,0,0,0,0,0
0.0,1500.0,3,73.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,995.0,2,48.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1342.0,2,90.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1128.0,2,63.5,2,1,0,0,0,0,0,0,0,0,0,0
2.0,589.0,1,29.0,1,1,0,0,0,0,0,0,0,0,0,0
2.0,1575.0,3,94.5,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1070.0,2,48.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1025.0,2,54.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1500.0,2,70.0,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1500.0,2,64.5,3,1,0,0,0,0,0,0,0,0,0,0
2.0,2093.0,4,134.0,4,1,0,0,0,0,0,0,0,0,0,0
2.0,1355.0,2,73.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1360.0,2,64.99,3,1,0,0,0,0,0,0,0,0,0,0
2.0,1060.0,2,52.0,2,1,0,0,0,0,0,0,0,0,0,0
2.0,1760.0,2,123.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,5611.5,4,477.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1349.0,2,98.2,2,0,1,0,0,0,0,0,0,0,0,0
2.0,2483.0,5,212.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1760.0,2,130.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1920.0,3,134.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1500.0,3,150.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1337.0,2,82.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1349.0,2,98.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,2470.0,5,247.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1790.0,3,127.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1985.0,4,189.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,2483.0,5,215.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1080.0,2,54.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,812.0,2,55.0,2,0,1,0,0,0,0,0,0,0,0,0
0.0,1075.0,2,52.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,3067.0,4,230.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,2526.0,2,250.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,3067.0,4,230.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1420.0,2,123.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1420.0,2,99.39,2,0,1,0,0,0,0,0,0,0,0,0
2.0,4235.0,4,365.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1700.0,3,124.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,3960.0,5,386.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1420.0,2,99.39,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1440.0,2,115.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1100.0,2,54.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,2400.0,4,180.0,3,0,1,0,0,0,0,0,0,0,0,0
0.0,1420.0,2,107.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1320.0,2,92.0,2,0,1,0,0,0,0,0,0,0,0,0
0.0,919.0,2,49.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1645.0,3,135.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,2080.0,3,175.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,2483.0,5,230.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,2600.0,3,195.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1645.0,3,117.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1251.0,2,88.73,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1645.0,3,121.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1760.0,3,123.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,3960.0,5,386.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1645.0,3,120.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1255.0,2,90.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1645.0,3,117.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1636.0,3,119.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1255.0,2,95.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1255.0,2,95.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1088.0,2,61.45,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1349.0,2,97.8,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1344.0,2,108.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1255.0,2,90.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1138.0,2,110.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,2790.0,5,204.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1088.0,2,62.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1987.0,4,165.0,3,0,1,0,0,0,0,0,0,0,0,0
0.0,1299.0,2,100.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1200.0,2,60.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1645.0,3,117.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1390.0,2,95.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1333.0,2,100.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,2650.0,4,199.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1800.0,3,140.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,2470.0,4,203.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1255.0,2,95.0,3,0,1,0,0,0,0,0,0,0,0,0
0.0,1333.0,2,104.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1645.0,3,117.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,2600.0,3,199.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1345.0,2,97.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,985.0,2,62.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1320.0,2,91.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,2388.0,3,195.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1040.0,2,55.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,2600.0,3,195.0,3,0,1,0,0,0,0,0,0,0,0,0
0.0,1075.0,2,52.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,3895.0,3,390.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1645.0,3,113.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1420.0,2,99.39,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1162.0,2,69.0,2,0,1,0,0,0,0,0,0,0,0,0
0.0,1100.0,2,60.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,4235.0,5,364.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1299.0,2,97.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,2470.0,5,192.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1645.0,3,117.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1920.0,3,134.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1920.0,3,150.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,2375.0,4,189.0,4,0,1,0,0,0,0,0,0,0,0,0
2.0,1420.0,2,99.26,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1252.0,2,92.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1162.0,2,59.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1294.0,2,115.0,2,0,1,0,0,0,0,0,0,0,0,0
0.0,1150.0,2,57.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1740.0,2,137.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,3895.0,3,390.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1662.0,3,155.0,3,0,1,0,0,0,0,0,0,0,0,0
0.0,2250.0,3,219.0,3,0,1,0,0,0,0,0,0,0,0,0
2.0,1349.0,2,98.0,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1349.0,2,96.8,2,0,1,0,0,0,0,0,0,0,0,0
2.0,1665.0,3,88.0,3,0,0,1,0,0,0,0,0,0,0,0
0.0,950.0,2,57.0,2,0,0,1,0,0,0,0,0,0,0,0
0.0,2250.0,4,110.0,4,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,26.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,27.25,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1100.0,2,58.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,30.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1339.0,2,75.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1100.0,3,58.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,26.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1843.0,3,95.84,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1290.0,2,74.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1665.0,3,86.58,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1542.0,2,85.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1300.0,2,69.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1495.0,2,90.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1420.0,2,75.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,825.0,1,36.29,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1843.0,3,95.84,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1366.0,3,76.85,2,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,25.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,2265.0,3,136.0,3,0,0,1,0,0,0,0,0,0,0,0
1.0,2200.0,3,130.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,30.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1051.0,2,56.74,2,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,30.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1300.0,3,69.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,700.0,2,40.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1700.0,3,88.0,3,0,0,1,0,0,0,0,0,0,0,0
1.0,2775.0,3,165.0,4,0,0,1,0,0,0,0,0,0,0,0
1.0,1900.0,3,99.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1290.0,2,80.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1868.0,3,113.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1366.0,2,83.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,700.0,2,40.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1339.0,2,71.5,2,0,0,1,0,0,0,0,0,0,0,0
2.0,670.0,1,35.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,30.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1498.0,3,95.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1665.0,3,86.91,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1665.0,3,86.58,3,0,0,1,0,0,0,0,0,0,0,0
2.0,712.0,1,38.44,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1507.0,2,95.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1339.0,2,85.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,27.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,27.5,1,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,26.25,1,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,26.0,1,0,0,1,0,0,0,0,0,0,0,0
0.0,1050.0,2,59.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1100.0,3,56.57,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1843.0,3,96.2,3,0,0,1,0,0,0,0,0,0,0,0
0.0,1240.0,2,65.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,700.0,2,41.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,700.0,1,41.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1100.0,3,58.0,3,0,0,1,0,0,0,0,0,0,0,0
0.0,1140.0,2,65.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,700.0,2,40.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,26.01,1,0,0,1,0,0,0,0,0,0,0,0
0.0,1322.0,2,70.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1698.0,2,105.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1300.0,3,69.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1300.0,3,69.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1167.0,2,63.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1300.0,3,69.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1430.0,2,78.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1100.0,3,58.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1300.0,2,69.0,3,0,0,1,0,0,0,0,0,0,0,0
0.0,2000.0,3,105.0,3,0,0,1,0,0,0,0,0,0,0,0
1.0,1200.0,2,62.0,2,0,0,1,0,0,0,0,0,0,0,0
2.0,1843.0,3,95.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,850.0,1,37.32,1,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,30.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1938.0,3,105.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1843.0,3,96.2,3,0,0,1,0,0,0,0,0,0,0,0
2.0,525.0,1,26.0,1,0,0,1,0,0,0,0,0,0,0,0
2.0,1622.0,3,95.0,3,0,0,1,0,0,0,0,0,0,0,0
2.0,1220.0,2,57.0,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1200.0,2,52.0,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1200.0,2,60.0,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1933.0,3,140.0,3,0,0,0,1,0,0,0,0,0,0,0
2.0,950.0,2,46.96,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1230.0,2,80.0,2,0,0,0,1,0,0,0,0,0,0,0
2.0,3800.0,4,250.0,4,0,0,0,1,0,0,0,0,0,0,0
2.0,1019.0,2,49.85,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1215.0,2,67.0,2,0,0,0,1,0,0,0,0,0,0,0
2.0,2181.0,3,152.0,4,0,0,0,1,0,0,0,0,0,0,0
0.0,1170.0,2,53.0,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1019.0,2,49.86,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1325.0,2,71.55,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1220.0,2,56.5,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1152.0,2,56.0,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1610.0,3,90.0,3,0,0,0,1,0,0,0,0,0,0,0
2.0,1146.0,2,70.0,2,0,0,0,1,0,0,0,0,0,0,0
2.0,1469.0,3,89.0,3,0,0,0,1,0,0,0,0,0,0,0
2.0,2519.0,5,185.0,4,0,0,0,1,0,0,0,0,0,0,0
2.0,957.0,2,46.9,2,0,0,0,1,0,0,0,0,0,0,0
